date,count,timestamp,type
2013-01-31,4,1359590400000,daily
2013-02-06,1,1360108800000,daily
2013-02-12,1,1360627200000,daily
2013-02-14,2,1360800000000,daily
2013-02-18,2,1361145600000,daily
2013-02-21,1,1361404800000,daily
2013-02-22,3,1361491200000,daily
2013-02-26,3,1361836800000,daily
2013-02-27,3,1361923200000,daily
2013-02-28,2,1362009600000,daily
2013-03-04,1,1362355200000,daily
2013-03-07,1,1362614400000,daily
2013-03-08,1,1362700800000,daily
2013-03-11,1,1362960000000,daily
2013-03-14,1,1363219200000,daily
2013-03-18,3,1363564800000,daily
2013-03-19,3,1363651200000,daily
2013-03-21,1,1363824000000,daily
2013-03-22,3,1363910400000,daily
2013-03-25,2,1364169600000,daily
2013-03-28,1,1364428800000,daily
2013-03-29,1,1364515200000,daily
2013-04-02,1,1364860800000,daily
2013-04-04,2,1365033600000,daily
2013-04-05,2,1365120000000,daily
2013-04-09,1,1365465600000,daily
2013-04-10,1,1365552000000,daily
2013-04-15,1,1365984000000,daily
2013-04-16,2,1366070400000,daily
2013-04-18,1,1366243200000,daily
2013-04-19,4,1366329600000,daily
2013-04-23,1,1366675200000,daily
2013-04-24,2,1366761600000,daily
2013-04-25,1,1366848000000,daily
2013-04-26,2,1366934400000,daily
2013-04-29,1,1367193600000,daily
2013-04-30,2,1367280000000,daily
2013-05-01,3,1367366400000,daily
2013-05-06,1,1367798400000,daily
2013-05-10,1,1368144000000,daily
2013-05-13,1,1368403200000,daily
2013-05-14,1,1368489600000,daily
2013-05-15,3,1368576000000,daily
2013-05-16,1,1368662400000,daily
2013-05-17,1,1368748800000,daily
2013-05-20,1,1369008000000,daily
2013-05-22,3,1369180800000,daily
2013-05-23,1,1369267200000,daily
2013-05-24,1,1369353600000,daily
2013-05-28,1,1369699200000,daily
2013-05-29,1,1369785600000,daily
2013-05-30,2,1369872000000,daily
2013-06-03,2,1370217600000,daily
2013-06-05,1,1370390400000,daily
2013-06-06,1,1370476800000,daily
2013-06-18,2,1371513600000,daily
2013-06-20,3,1371686400000,daily
2013-06-21,1,1371772800000,daily
2013-06-24,1,1372032000000,daily
2013-06-25,1,1372118400000,daily
2013-06-26,1,1372204800000,daily
2013-06-27,1,1372291200000,daily
2013-06-28,1,1372377600000,daily
2013-07-01,1,1372636800000,daily
2013-07-02,1,1372723200000,daily
2013-07-03,1,1372809600000,daily
2013-07-04,2,1372896000000,daily
2013-07-08,1,1373241600000,daily
2013-07-09,1,1373328000000,daily
2013-07-11,1,1373500800000,daily
2013-07-23,1,1374537600000,daily
2013-07-24,1,1374624000000,daily
2013-07-25,1,1374710400000,daily
2013-07-29,3,1375056000000,daily
2013-07-31,1,1375228800000,daily
2013-08-02,1,1375401600000,daily
2013-08-06,1,1375747200000,daily
2013-08-08,3,1375920000000,daily
2013-08-12,1,1376265600000,daily
2013-08-13,3,1376352000000,daily
2013-08-15,4,1376524800000,daily
2013-08-19,3,1376870400000,daily
2013-08-20,2,1376956800000,daily
2013-08-22,1,1377129600000,daily
2013-08-23,1,1377216000000,daily
2013-08-26,2,1377475200000,daily
2013-08-27,2,1377561600000,daily
2013-08-28,1,1377648000000,daily
2013-08-29,3,1377734400000,daily
2013-09-02,1,1378080000000,daily
2013-09-03,1,1378166400000,daily
2013-09-04,2,1378252800000,daily
2013-09-05,1,1378339200000,daily
2013-09-10,5,1378771200000,daily
2013-09-12,1,1378944000000,daily
2013-09-13,2,1379030400000,daily
2013-09-18,3,1379462400000,daily
2013-09-20,3,1379635200000,daily
2013-09-24,3,1379980800000,daily
2013-09-26,1,1380153600000,daily
2013-09-27,3,1380240000000,daily
2013-10-01,1,1380585600000,daily
2013-10-02,1,1380672000000,daily
2013-10-04,4,1380844800000,daily
2013-10-08,3,1381190400000,daily
